serial_number,calculation_sd,calculation_ld
RB241213,0.10799,0.5166
RB241212,0.10744,0.5166
RB241211,0.1105,0.5316
RB241210,0.10577,0.51435
RB241209,0.10104,0.4896
RB241208,0.10438,0.49295
RB241207,0.10354,0.51715
RB241206,0.09491,0.45535
RB241204,0.10688,0.5266
RB241203,0.09964,0.49625
RB241202,0.09937,0.4804
RB241201,0.10298,0.49155
RB241200,0.10215,0.4868
RB241199,0.10048,0.4957
RB241198,0.10966,0.5052
RB241197,0.10215,0.4974
RB241196,0.10243,0.4957
RB241195,0.09491,0.47375
RB241194,0.09686,0.474
RB241193,0.1041,0.50545
RB241192,0.10911,0.51215
RB241191,0.09547,0.46205
RB241190,0.09547,0.4712
RB241189,0.10298,0.51355
RB241188,0.09269,0.47955
RB241187,0.10131,0.51855
RB241186,0.08684,0.46425
RB241185,0.1066,0.50575
RB241184,0.10104,0.4932
RB241183,0.11328,0.5308
RB241181,0.09992,0.4679
RB241180,0.10131,0.48095
RB241179,0.10382,0.50405
RB241177,0.0963,0.484
RB241176,0.0977,0.4821
RB241175,0.10493,0.5152
RB241174,0.10966,0.52325
RB241173,0.09491,0.46815
RB241172,0.10438,0.4946
RB241171,0.09603,0.4495
RB241170,0.09324,0.4534
RB241169,0.10493,0.4921
RB241097,0.10354,0.50295
RB241101,0.10326,0.5085
RB241103,0.10382,0.50965
RB241122,0.10521,0.5038
RB241146,0.10159,0.4949
RB241151,0.10159,0.50545
RB241124,0.10215,0.5213
RB241168,0.10605,0.5046
RB241158,0.10298,0.5074
RB241157,0.10298,0.501
RB241135,0.10632,0.5074
RB241130,0.10187,0.50935
RB240980,0.1058,0.5095
RB241149,0.101,0.492
RB241150,0.1002,0.5075
RB241134,0.1016,0.4955
RB241160,0.1033,0.4905
RB241100,0.1021,0.496
RB241162,0.1033,0.503
RB241166,0.1047,0.507
RB241142,0.1021,0.492
RB240936,0.0946,0.4805
RB241112,0.0991,0.495
RB241102,0.1021,0.5025
RB241143,0.103,0.5045
RB241165,0.1033,0.5055
RB241161,0.1035,0.5075
RB241139,0.1027,0.5005
RB241118,0.1049,0.5035
RB241156,0.1027,0.507
RB241153,0.1058,0.5015
RB241126,0.1033,0.488
RB241154,0.1035,0.477
RB241125,0.1086,0.506
RB241159,0.1041,0.49295
RB241040,0.1010354041,0.5076820305
RB241163,0.10911,0.49405
RB241167,0.10298,0.49685
RB241155,0.10994,0.511
RB240971,0.1018704075,0.5113003785
RB241092,0.083500334,0.480961924
RB241065,0.1004787352,0.506568693
RB241086,0.1038187486,0.492930305
RB241069,0.1029837453,0.490425295
RB241047,0.1007570697,0.5182587395
RB241164,0.10994,0.50435
RB241113,0.10131,0.4918
RB241132,0.10354,0.4846
RB241120,0.11273,0.5163
RB241116,0.10215,0
RB240972,0.10326,0.5099
RB241131,0.10939,0.5219
RB241140,0.10187,0.4935
RB241114,0.0963,0.49015
RB241098,0.10187,0.50435
RB241115,0.09324,0.4751
RB241152,0.11161,0.51465
RB241137,0.11078,0.5152
