"serial_number","calculation_sd","calculation_ld"
"SLI241213",0.10799,0.5166
"SLI241212",0.10744,0.5166
"SLI241211",0.1105,0.5316
"SLI241210",0.10577,0.51435
"SLI241209",0.10104,0.4896
"SLI241208",0.10438,0.49295
"SLI241207",0.10354,0.51715
"SLI241206",0.09491,0.45535
"SLI241204",0.10688,0.5266
"SLI241203",0.09964,0.49625
"SLI241202",0.09937,0.4804
"SLI241201",0.10298,0.49155
"SLI241200",0.10215,0.4868
"SLI241199",0.10048,0.4957
"SLI241198",0.10966,0.5052
"SLI241197",0.10215,0.4974
"SLI241196",0.10243,0.4957
"SLI241195",0.09491,0.47375
"SLI241194",0.09686,0.474
"SLI241193",0.1041,0.50545
"SLI241192",0.10911,0.51215
"SLI241191",0.09547,0.46205
"SLI241190",0.09547,0.4712
"SLI241189",0.10298,0.51355
"SLI241188",0.09269,0.47955
"SLI241187",0.10131,0.51855
"SLI241186",0.08684,0.46425
"SLI241185",0.1066,0.50575
"SLI241184",0.10104,0.4932
"SLI241183",0.11328,0.5308
"SLI241181",0.09992,0.4679
"SLI241180",0.10131,0.48095
"SLI241179",0.10382,0.50405
"SLI241177",0.0963,0.484
"SLI241176",0.0977,0.4821
"SLI241175",0.10493,0.5152
"SLI241174",0.10966,0.52325
"SLI241173",0.09491,0.46815
"SLI241172",0.10438,0.4946
"SLI241171",0.09603,0.4495
"SLI241170",0.09324,0.4534
"SLI241169",0.10493,0.4921
"SLI241097",0.10354,0.50295
"SLI241101",0.10326,0.5085
"SLI241103",0.10382,0.50965
"SLI241122",0.10521,0.5038
"SLI241146",0.10159,0.4949
"SLI241151",0.10159,0.50545
"SLI241124",0.10215,0.5213
"SLI241168",0.10605,0.5046
"SLI241158",0.10298,0.5074
"SLI241157",0.10298,0.501
"SLI241135",0.10632,0.5074
"SLI241130",0.10187,0.50935
"SLI240980",0.1058,0.5095
"SLI241149",0.101,0.492
"SLI241150",0.1002,0.5075
"SLI241134",0.1016,0.4955
"SLI241160",0.1033,0.4905
"SLI241100",0.1021,0.496
"SLI241162",0.1033,0.503
"SLI241166",0.1047,0.507
"SLI241142",0.1021,0.492
"SLI240936",0.0946,0.4805
"SLI241112",0.0991,0.495
"SLI241102",0.1021,0.5025
"SLI241143",0.103,0.5045
"SLI241165",0.1033,0.5055
"SLI241161",0.1035,0.5075
"SLI241139",0.1027,0.5005
"SLI241118",0.1049,0.5035
"SLI241156",0.1027,0.507
"SLI241153",0.1058,0.5015
"SLI241126",0.1033,0.488
"SLI241154",0.1035,0.477
"SLI241125",0.1086,0.506
"SLI241159",0.1041,0.49295
"SLI241040",0.1010354041,0.5076820305
"SLI241163",0.10911,0.49405
"SLI241167",0.10298,0.49685
"SLI241155",0.10994,0.511
"SLI240971",0.1018704075,0.5113003785
"SLI241092",0.083500334,0.480961924
"SLI241065",0.1004787352,0.506568693
"SLI241086",0.1038187486,0.492930305
"SLI241069",0.1029837453,0.490425295
"SLI241047",0.1007570697,0.5182587395
"SLI241164",0.10994,0.50435
"SLI241113",0.10131,0.4918
"SLI241132",0.10354,0.4846
"SLI241120",0.11273,0.5163
"SLI241116",0.10215,0
"SLI240972",0.10326,0.5099
"SLI241131",0.10939,0.5219
"SLI241140",0.10187,0.4935
"SLI241114",0.0963,0.49015
"SLI241098",0.10187,0.50435
"SLI241115",0.09324,0.4751
"SLI241152",0.11161,0.51465
"SLI241137",0.11078,0.5152
